测试频道,#genre#
TiTV原视,http://37.27.111.214:8080/live/2/hls.m3u8
浙江生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
流星花园壹04,https://v.cdnlz20.com/20241121/20989_f6634720/index.m3u8
山东生活,http://ls.qingting.fm/live/60260.m3u8
嘉佳卡通,http://112.46.105.20:8009/hls/66/index.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
情难断,https://vd2.bdstatic.com/mda-nc64m5emhisa13mr/cae_h264_delogo/1646623933147802848/mda-nc64m5emhisa13mr.mp4
贵南,http://livecdn.dmqhyadmin.com/hls/xjguinan.m3u8
流星花园壹19,https://v.cdnlz20.com/20241121/21003_e083417f/index.m3u8
武进生活,https://live.wjyanghu.com/live/CH2.m3u8
流星花园壹08,https://v.cdnlz20.com/20241121/20993_9ea687dd/index.m3u8
流星花园壹22,https://v.cdnlz20.com/20241121/21007_0c6f3604/index.m3u8
三立新聞,http://125.227.210.55:8162/VideoInput/play.ts
英雄赞歌,https://vd3.bdstatic.com/mda-nin6t17p7dt7u499/sc/cae_h264/1664117214428826970/mda-nin6t17p7dt7u499.mp4
金鹰卡通,http://58.19.43.46:9901/tsfile/live/1000_1.m3u8
流星花园壹02,https://v.cdnlz20.com/20241121/20987_7f22ee90/index.m3u8
tvbs闽南频特,http://61.221.215.25:8800/hls/9/index.m3u8
变形金刚视觉,https://vd3.bdstatic.com/mda-khb9j4g6c25biyqj/v1-cae/1080p/mda-khb9j4g6c25biyqj.mp4
龙华洋片,http://37.27.111.214:8080/live/19/hls.m3u8
探案电影,http://37.27.111.214:8080/live/11/hls.m3u8
龙华日韩频高,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
经典电影频视,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv
哈尔滨都市咨询,http://stream.hrbtv.net/zxpd/sd/live.m3u8
tvbs欢乐,http://37.27.111.214:8080/live/24/hls.m3u8
龙门飞甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8
浙江生活,http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
夏河,http://pili-live-hls.hfmt.net/gntv/xhtv.m3u8
松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
双龙会,https://alimov2.a.kwimgs.com/upic/2021/10/01/19/BMjAyMTEwMDExOTA1MDVfMTI0MzE0NjMyOF81ODE5NzY0NzAyOF8yXzM=_b_B6eb284159f267349ab21b64feb3d48ce.mp4
Diso综合频英,http://61.221.215.25:8800/hls/1/index.m3u8
流星花园壹13,https://v.cdnlz20.com/20241121/20998_b51ec43b/index.m3u8
三立综合,http://37.27.111.214:8080/live/31/hls.m3u8
中华特产,http://120.76.248.139/live/bfgd/4200000158.m3u8
卡酷少儿,http://61.138.128.226:19901/tsfile/live/1017_1.m3u8
延边1,http://live.ybtvyun.com/video/s10016-af95004b6d1a/index.m3u8
海口生活,http://183.255.46.4:16080/live/tv2502.m3u8
车震一小时,http://gcw.bdcdn.shoujiduoduo.com/201805/0748-641.mp4
金鹰卡通,http://110.53.52.63:8888/newlive/live/hls/49/live.m3u8
陕西西部电影,http://112.46.105.20:8009/hls/62/index.m3u8
宜兴紫砂,http://3gvod.zjgonline.com.cn:1935/live/_definst_/xinwenzonghe_app/chunklist.m3u8
天若有情,http://jsmov2.a.yximgs.com/bs3/video-hls/5246412168297899387_hlsb.m3u8
黄飞鸿之男儿当自强,https://txmov2.a.kwimgs.com/upic/2020/05/16/01/BMjAyMDA1MTYwMTAyMjFfMjEyNDgzMjg2XzI4NjI3OTAwNTc5XzJfMw==_b_Bc1101c249e7355d840c4495b7bfd84a4.mp4
八大戏剧频特,http://61.221.215.25:8800/hls/39/index.m3u8
兴海综合,https://lived.dmqhyadmin.com/xhzhpd/sd/live.m3u8
广西国际,http://hlscdn.liangtv.cn/live/0234c48e0bc24fe1b41b9999a253e581/1075ee38e04f490690f6a36a16e09c79.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
海盐新闻,http://lived.dmqhyadmin.com/ds/sd/live.m3u8
淅川电视,http://live.dxhmt.cn:9081/tv/11326-1.m3u8
九二神雕之痴心情长剑,http://jsmov2.a.yximgs.com/bs3/video-hls/5188428323796620673_hlsb.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
终结者频视觉,https://vd3.bdstatic.com/mda-jk1hupziz0524rq1/mda-jk1hupziz0524rq1.mp4
辽宁公共,http://120.76.248.139/live/bfgd/4200000077.m3u8
CHC动作电影,http://175.22.226.131:888/hls/106/index.m3u8
余杭综合,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
七台河民生社教,http://live.qthnews.org.cn:1935/live/live2/800k/tzwj_video.m3u8
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8
流星花园壹17,https://v.cdnlz20.com/20241121/21002_c487117a/index.m3u8
海口新闻,http://183.255.46.4:16080/live/tv1001.m3u8
经典频视,http://ali.hlspull.yximgs.com/live/asdfg6699388.flv
洛阳文旅,https://wshlslive.migucloud.com/live/CVN934JS_C0/playlist.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8
浙江生活,http://ali-m-l.cztv.com/channels/lantian/channel003/720p.m3u8
陕西公共,http://ls.qingting.fm/live/1222.m3u8
天津卫视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1064_1.m3u8
芒种,https://vd3.bdstatic.com/mda-kat1tr4ka5st965k/hd/mda-kat1tr4ka5st965k.mp4
民和综合,http://livecdn.dmqhyadmin.com/hls/xjminhe.m3u8
青海卫视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1086_1.m3u8
西藏卫视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1089_1.m3u8
站在草原望北京,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgp6PA4gUo_LGSwQQ.mp4
流星花园壹09,https://v.cdnlz20.com/20241121/20994_579bd790/index.m3u8
三立新闻标测,http://cp.catvbj.top:5003/live1001.m3u8
天映经典标测,http://cp.catvbj.top:5003/live1010.m3u8
视觉艺术视觉,https://vd2.bdstatic.com/mda-ncj8cwfhcr4zyrfd/sc/cae_h264_delogo/1647755833056552862/mda-ncj8cwfhcr4zyrfd.mp4
北京测8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
广州南国,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8
济南综合,https://quehuamtyoutlive.ijntv.cn/qsrog5/0szz7q.m3u8
黄飞鸿之铁鸡斗蜈蚣,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634242822045870_hlsb.m3u8
NHK新闻频英,http://61.221.215.25:8800/hls/51/index.m3u8
双辽,http://stream5.jlntv.cn/sl/sd/live.m3u8
通化县,http://stream5.jlntv.cn/thx/sd/live.m3u8
镇江新闻综合,http://zjtv-wshls.homecdn.com/live/2aa50.m3u8
变形金刚U,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/720p/h264_delogo/1649341231263414752/mda-nd6k8tnavw6sj0a5.mp4
云南卫视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1081_1.m3u8
四川卫视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1072_1.m3u8
人在囧途,http://jsmov2.a.yximgs.com/bs3/video-hls/5239093847755471351_hlsb.m3u8
重庆新闻,https://satellitepull.cnr.cn/live/wxcqxwgb/playlist.m3u8
抖音热歌《大风吹+夜夜夜漫长》,https://vdse.bdstatic.com//13da18e12728e9d7849f6589a3070b4c.mp4
龙腾虎跃视觉,https://vd2.bdstatic.com/mda-nb48vhn84vq41zf3/1080p/cae_h264_delogo/1644042257215201305/mda-nb48vhn84vq41zf3.mp4
东丰,http://stream5.jlntv.cn/df/sd/live.m3u8
遂昌综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8
流星花园壹10,https://v.cdnlz20.com/20241121/20995_dcb4d2ea/index.m3u8
萧山生活,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
延边2,http://stream8.jlntv.cn/ljtv/playlist.m3u8
八大第一频特,http://61.221.215.25:8800/hls/55/index.m3u8
常熟民生,http://3gvod.zjgonline.com.cn:1935/live/_definst_/shehuishenghuo_app/chunklist.m3u8
电影秦岭镇天棺,https://top.qoqkkhy.com/202306/24/Mu2K2bjfaf3/video/index.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
CHC影迷电影,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
東森新聞,http://docker.livednow.dpdns.org/li-4gtv-4gtv152/index.m3u8
无线,http://v2h.jdshipin.com/liveshow/liveshow.stream/chunklist_w10.m3u8
tvbs闽南,http://37.27.111.214:8080/live/23/hls.m3u8
少儿动画,http://218.15.183.23:9901/tsfile/live/23045_1.m3u8
为爱疯狂,https://vd2.bdstatic.com/mda-maiq19kmh7y0q6wz/v1-cae/1080p/mda-maiq19kmh7y0q6wz.mp4
小崔说事儿,https://vdse.bdstatic.com//0881642336164cb448c0d8addd2d22a6.mp4
新沂生活,http://live.xysrmt.cn/shpd/sd/live.m3u8
辽宁公共,http://120.76.248.139/live/bfgd/4200000481.m3u8
动物星球频国,http://61.221.215.25:8800/hls/57/index.m3u8
文成新闻综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
热血颂,https://vd2.bdstatic.com/mda-nhm1iukvqj73jrk9/sc/cae_h264/1661134887035608960/mda-nhm1iukvqj73jrk9.mp4
龙兄虎弟,http://jsmov2.a.yximgs.com/bs3/video-hls/5250352837791566632_hlsb.m3u8
磐石,http://stream5.jlntv.cn/ps/sd/live.m3u8
冬奧纪实梅州,http://1b6467f415.iok.la:9931/tsfile/live/1103_1.m3u8
流星花园壹07,https://v.cdnlz20.com/20241121/20992_dbff4dcb/index.m3u8
流星花园壹01,https://v.cdnlz20.com/20241121/20985_9d08aaaf/index.m3u8
绍兴电视台公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
丰顺综合梅州,http://1b6467f415.iok.la:9931/tsfile/live/1100_1.m3u8
非凡新闻高测,http://cp.catvbj.top:5003/live1006.m3u8
镇江二套社会民生,http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
甜歌美人舞,https://vd2.bdstatic.com/mda-ndr6b7bxbcxhs2hn/480p/h264_delogo/1650947738307316588/mda-ndr6b7bxbcxhs2hn.mp4
东方秃鹰,http://jsmov2.a.yximgs.com/bs3/video-hls/5218546164654879826_hlsb.m3u8
西峰,http://pili-live-rtmp.luan2.hfmt.net/luan2/xifeng/123456.m3u8
火影忍者,https://hd.ijycnd.com/play/Yer3NWLa/index.m3u8
浙江教育,http://ali-vl.cztv.com/channels/lantian/channel004/360p.m3u8
桦甸,http://stream10.jlntv.cn/huadian/sd/live.m3u8
孙艺琪《寂寞的人别听伤感情歌》,https://vd2.bdstatic.com/mda-mdscsws7443npwa8/1080p/cae_h264/1619516504/mda-mdscsws7443npwa8.mp4
平泉综合,https://jwcdnqx.hebyun.com.cn/live/pqzh/1500k/tzwj_video.m3u8
八大综合频特,http://61.221.215.25:8800/hls/56/index.m3u8
石河子影视文体,http://124.88.144.73:1935/live/jjsh/playlist.m3u8
嘉兴新闻综合,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
醉拳,https://txmov2.a.kwimgs.com/upic/2021/09/30/18/BMjAyMTA5MzAxODM1NTFfMTI0MzE0NjMyOF81ODEwNDc3MzAzOF8yXzM=_b_B1b01bbe5b567f842b3de0b78109d1907.mp4
宜兴新闻,https://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8
CINEMA ,http://37.27.111.214:8080/live/30/hls.m3u8
嵊泗综合,http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8
经典乡村频视,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
Nick动画频贰,http://37.27.111.214:8080/live/22/hls.m3u8
黑莓电影,https://epg.pw/stream/ffcb6572863f0745a7369fbd9d901f1dfd0ab8fab8bad8bebb4e01c90b303c47.m3u8
背叛情歌,https://vd2.bdstatic.com/mda-nd9g7g9pdc9d06hz/sc/cae_h264_delogo/1649669454990045825/mda-nd9g7g9pdc9d06hz.mp4
让我们荡起双桨,https://vd2.bdstatic.com/mda-kg1gexwxqwfj1ggj/v1-cae/sc/mda-kg1gexwxqwfj1ggj.mp4
长津湖频视觉,https://vd3.bdstatic.com/mda-mgq3kek3j2cr07w7/sc/cae_h264_nowatermark/1627180666806871183/mda-mgq3kek3j2cr07w7.mp4
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
HITs电影,http://37.27.111.214:8080/live/28/hls.m3u8
邢台生活,https://jwcdnqx.hebyun.com.cn/live/xtcsshpd/1500k/tzwj_video.m3u8
我不想说,https://vd2.bdstatic.com/mda-pcu854funsj9572n/sc/cae_h264/1680069595304346549/mda-pcu854funsj9572n.mp4
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
凤凰中文频高,https://ali.hlspull.yximgs.com/live/41c574adb367cad24af0ee2c334dd09f.flv
吉林卫视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1076_1.m3u8
东森电影梅州,http://1b6467f415.iok.la:9931/tsfile/live/1043_1.m3u8
鹿泉二套,https://jwcdnqx.hebyun.com.cn/live/luquaner/1500k/tzwj_video.m3u8
义胆雄心,http://jsmov2.a.yximgs.com/bs3/video-hls/5237686462055775486_hlsb.m3u8
新昌生活,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
流星花园壹26,https://v.cdnlz20.com/20241121/21011_5a68d5ac/index.m3u8
新昌新闻综合,http://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8
动作电影梅州,http://1b6467f415.iok.la:9931/tsfile/live/1047_1.m3u8
收藏天下,http://www.cdnstv.com:6398/hls/1118/index.m3u8
非凡新聞,http://docker.livednow.dpdns.org/4gtv-4gtv010/index.m3u8
华视闽南,http://37.27.111.214:8080/live/8/hls.m3u8
流星花园壹28,https://v.cdnlz20.com/20241121/21013_0a152d5b/index.m3u8
浙江生活,http://ls.qingting.fm/live/1099.m3u8
武进新闻,http://live.wjyanghu.com/live/CH1.m3u8
真心太难求,https://vdse.bdstatic.com//19652aae08e5960c7ec9694e87e0d1f0.mp4
经典都市频视,http://ali.hlspull.yximgs.com/live/asdfg32619.flv
九台,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8
流星花园壹06,https://v.cdnlz20.com/20241121/20990_2a3e215a/index.m3u8
洛阳综合,https://wshlslive.migucloud.com/live/6AL7GTQX_C0/playlist.m3u8
流星花园壹21,https://v.cdnlz20.com/20241121/21006_984e4d9d/index.m3u8
柳河,http://stream5.jlntv.cn/lh/sd/live.m3u8
年轻的朋友来相会,https://vd3.bdstatic.com/mda-mg7ez868p9n3i2ck/sc/cae_h264/1625741125840222642/mda-mg7ez868p9n3i2ck.mp4
电影黄河巨蛇事件,https://hot.qoqkkhy.com/20230216/LmKVNmwS/index.m3u8
湖南卫视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1058_1.m3u8
内蒙古视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1085_1.m3u8
变形金刚_,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/uhd/cae_h264_delogo/1649341416749683469/mda-nd6k8tnavw6sj0a5.mp4
动画动漫,http://37.27.111.214:8080/live/57/hls.m3u8
凤凰香港频高,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
周口扶沟,http://live.dxhmt.cn:9081/tv/11621-1.m3u8
凤凰资讯频高,https://cdn6.163189.xyz/live/fhzx/stream.m3u8
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8
洞头综合,http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8
功夫之王视觉,https://vdse.bdstatic.com//92bd4a8082ab3cb7e96e1d852bc0d5f4.mp4
宜兴紫砂,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_zs.m3u8
经典功夫频视,http://ali.hlspull.yximgs.com/live/asdfg99338.flv
清河经济综艺,https://jwcdnqx.hebyun.com.cn/live/qinghe1/1500k/tzwj_video.m3u8
流星花园壹18,https://v.cdnlz20.com/20241121/21004_f0d557fb/index.m3u8
梅县综合梅州,http://1b6467f415.iok.la:9931/tsfile/live/1002_1.m3u8
上海纪实梅州,http://1b6467f415.iok.la:9931/tsfile/live/1080_1.m3u8
湖北卫视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1068_1.m3u8
龙梅子都说,https://vd3.bdstatic.com:443/mda-ma7cm59x1m4015ip/v2-hknm/1080p/mda-ma7cm59x1m4015ip.mp4
让我们荡起双桨,https://vd2.bdstatic.com/mda-kf2maiw5viky6fvx/v1-cae/sc/mda-kf2maiw5viky6fvx.mp4
流星花园壹11,https://v.cdnlz20.com/20241121/20996_d3474158/index.m3u8
流星花园壹23,https://v.cdnlz20.com/20241121/21009_1ef47a5a/index.m3u8
任丘综合,https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8
缙云新闻综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
纬来精彩频特,http://61.221.215.25:8800/hls/48/index.m3u8
东京新宿视觉,https://vd4.bdstatic.com/mda-na6metzpvv5xqh6h/1080p/cae_h264/1641623274673701803/mda-na6metzpvv5xqh6h.mp4
金鹰卡通,http://58.57.40.22:9901/tsfile/live/1059_1.m3u8
黄飞鸿之壮志凌云,http://jsmov2.a.yximgs.com/bs3/video-hls/5189554175568165120_hlsb.m3u8
庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8
民视台湾,http://37.27.111.214:8080/live/5/hls.m3u8
江苏卫视梅州,http://1b6467f415.iok.la:9931/tsfile/live/1060_1.m3u8
网络金曲《拈花一笑》《陪你千山万水》《对面小姐姐》,https://vdse.bdstatic.com//c2deba4d320384736569e542ac531aff.mp4
电影彩戏师之云机现世,https://hot.qoqkkhy.com/20230328/IDCvE2sO/index.m3u8
武进新闻,https://live.wjyanghu.com/live/CH1.m3u8
宜兴新闻,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8
流星花园壹15,https://v.cdnlz20.com/20241121/20999_2052bc1a/index.m3u8
流星花园壹12,https://v.cdnlz20.com/20241121/20997_722b7258/index.m3u8
武进生活,http://live.wjyanghu.com/live/CH2.m3u8
镇江新闻综合,http://cm-wshls.homecdn.com/live/2aa50.m3u8
余杭未来E,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
句容生活,http://jrlive.jrntv.com/live/_definst_/shenghuos/playlist.m3u8
年轻的朋友来相会,https://vd3.bdstatic.com/mda-jk6u0s2f81jmkk26/sc/mda-jk6u0s2f81jmkk26.mp4
龙华经典频高,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
梅州频_1梅州,http://1b6467f415.iok.la:9931/tsfile/live/1003_1.m3u8
昌黎综合,https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8
金鹰卡通,http://218.89.240.144:59901/tsfile/live/1002_1.m3u8
延边2,https://live.ybtvyun.com/video/s10006-1c8f0ebfee9f/index.m3u8
民视闽南,http://37.27.111.214:8080/live/6/hls.m3u8
流星花园壹27,https://v.cdnlz20.com/20241121/21012_d36a1fb8/index.m3u8
文成综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
爱江山更爱美人金典,https://vd4.bdstatic.com/mda-mm2a18n5jdh6d8bs/sc/cae_h264/1638516147610932793/mda-mm2a18n5jdh6d8bs.mp4
幸福空间,http://37.27.111.214:8080/live/26/hls.m3u8
亚洲旅游,http://37.27.111.214:8080/live/10/hls.m3u8
河南乡村,http://www.cdnstv.com:6398/hls/1116/index.m3u8
延边2,http://stream5.jlntv.cn/wq/playlist.m3u8
清河新闻综合,https://jwcdnqx.hebyun.com.cn/live/qinghe/1500k/tzwj_video.m3u8
CHC动作电影,http://110.53.52.63:8888/newlive/live/hls/53/live.m3u8
经典港片频视,http://ali.hlspull.yximgs.com/live/asdfg6899366.flv
经典综艺频视,http://ali.hlspull.yximgs.com/live/asdfg171759930.flv
嘉兴新闻综合,http://tvfile.jyrmt.cn:80/nmip-media/channellive/channel104452/playlist.m3u8
星光影迷频视,https://ali.hlspull.yximgs.com/live/11077536.flv
