港澳台頻道,#genre#

CHC动作电影,http://cg0.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316076&srchost=172.16.22.158:8060&gid=ZF3q5L%2FmYWch1qWqTIPAjw%3D%3D
CHC动作电影,http://www.tico2.eu.org:4022/rtp/239.69.1.242:11094
CHC动作电影,http://115.60.241.249:2000/rtp/225.1.4.208:1261
CHC影迷电影,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D
CHC影迷电影,http://www.tico2.eu.org:4022/rtp/239.69.1.241:11088
CHC家庭影院,http://cg11.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316833&srchost=172.16.22.158:8060&gid=c%2BNqgq8pR1ZQ7ZzcmkS8%2BQ%3D%3D
CHC家庭影院,http://www.tico2.eu.org:4022/rtp/239.69.1.243:11100

星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
Now 体育台,http://58.87.99.251:8090/HK1/nowbaogu/hls.m3u8
Now 星影台,http://60.30.198.43:5080/HK/xy/hls.m3u8
Now 爆谷台,http://60.30.198.43:5080/HK/bg/hls.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS-Asia,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVB娱乐台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVB功夫台,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://ayolee.com:5253/udp/239.93.1.9:2192
TVB3明珠,http://120.84.121.199:808/hls/26/index.m3u8
TVB3明珠,http://120.84.121.113:808/hls/26/index.m3u8
翡翠,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB Jade (翡翠台) ,http://162.244.81.145:3333/live/telebostonrtb/playlist.m3u8
翡翠台,http://124.244.149.194:65530/bysid/1.m3u8
翡翠,http://zsntlqj.xicp.net:8895/bysid/1.m3u8
翡翠,http://m.glx008.com:8000/bysid/1.m3u8
TVB2翡翠,http://120.84.121.113:808/hls/25/index.m3u8
TVB2翡翠,http://120.84.121.199:808/hls/25/index.m3u8
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=2&hq
无线新闻台,http://live.cooltv.top/tv/tvb.php?id=0
有线新闻台,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
明珠台,http://nz171l122.bb60246.ctm.net:8892/bysid/2.m3u8
明珠台,http://124.244.149.194:65530/bysid/1.m3u8
TVB j2開碼,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
港台33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
RTHK33*頻道,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK34*頻道,,https://livedoc.cgtn.com/1000d/prog_index.m3u8
港台34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
RTHK34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK34,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
港台35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港开电视,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛新闻2,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
大立,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
亚洲卫视,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
